2011-06-03 12:47:49.907123
location	title	price	value	numBought	url
new-orleans	$35 for $209 at BCOR Fitness	35	209	191	http://www.groupon.com/deals/bcor-new-orleans?c=all&amp;p=1
new-orleans	Cajun Grill and Bar	10	20	42	http://www.groupon.com/deals/cajun-grill-and-bar?c=all&amp;p=1
new-orleans	Bloomberg Businessweek	19	40	13	http://www.groupon.com/deals/bloomberg-business-week-new-orleans-la?c=all&amp;p=1
new-orleans	Dr. Pelias Cosmetic Surgery and Lifestyle Center	1199	2400	30	http://www.groupon.com/deals/dr-marilyn-e-pelias?c=all&amp;p=1
new-orleans	OrigAudio	19	40	11	http://www.groupon.com/deals/origaudio-new-orleans?c=all&amp;p=1
new-orleans	Bayou's Edge Charter Fishing	199	400	80	http://www.groupon.com/deals/bayous-edge-charter-fishing?c=all&amp;p=1
houston	$22 for $44 at FantaSea Yacht Charters	22	44	540	http://www.groupon.com/deals/fantasea-yacht-charters?c=all&amp;p=1
houston	Fuad's	10	20	99	http://www.groupon.com/deals/fuads-houston?c=all&amp;p=1
houston	Houston Ghost Tour	10	20	160	http://www.groupon.com/deals/houston-ghost-tour?c=all&amp;p=1
houston	Planet Beach	35	111	18	http://www.groupon.com/deals/planet-beach-college-station?c=all&amp;p=1
houston	Up in Tangles Salon	35	70	40	http://www.groupon.com/deals/up-in-tangles-salon?c=all&amp;p=1
houston	Café Chino	10	20	371	http://www.groupon.com/deals/cafe-chino?c=all&amp;p=1
houston	Gangi Hair Design	40	80	52	http://www.groupon.com/deals/gangi-hair-design?c=all&amp;p=1
houston	Joy Yoga Center	20	89	725	http://www.groupon.com/deals/joy-yoga-studio-3?c=all&amp;p=1
houston	La Parranda	10	20	150	http://www.groupon.com/deals/la-parranda?c=all&amp;p=1
houston	Method Evolution	35	225	169	http://www.groupon.com/deals/method-evolution?c=all&amp;p=1
houston	Skin Perfect Aesthetics	37	75	53	http://www.groupon.com/deals/skin-perfect-aesthetics?c=all&amp;p=1
houston	Beautiful Laser Center	15	50	121	http://www.groupon.com/deals/beautiful-laser-center-1?c=all&amp;p=1
